word,freaquency
the,87216
is,77688
to,61898
you,54964
it,52681
not,49145
that,46953
and,43724
name,37525
of,34662
this,31439
in,28071
for,27169
are,25760
have,22929
was,20153
do,19659
my,18470
but,17632
be,17565
